Draw number,Draw date,draw_date_iso,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Supplementary Number 1,Supplementary Number 2,Supplementary Number 3,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount
1,22/02/1994,1994-02-22,4,15,19,37,40,43,,8,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,01/03/1994,1994-03-01,3,11,20,31,34,42,,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,08/03/1994,1994-03-08,6,7,9,28,44,45,,35,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15/03/1994,1994-03-15,5,20,23,29,30,44,,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22/03/1994,1994-03-22,10,13,16,20,38,40,,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29/03/1994,1994-03-29,1,2,15,16,38,41,,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,05/04/1994,1994-04-05,3,6,8,11,33,36,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12/04/1994,1994-04-12,3,4,21,22,40,45,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19/04/1994,1994-04-19,6,7,15,28,30,36,,24,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,26/04/1994,1994-04-26,5,9,12,13,29,33,,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,03/05/1994,1994-05-03,1,15,18,31,33,41,,37,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10/05/1994,1994-05-10,4,6,8,15,17,36,,20,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17/05/1994,1994-05-17,13,14,22,23,33,39,,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,24/05/1994,1994-05-24,1,16,29,30,40,42,,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,31/05/1994,1994-05-31,9,11,17,24,38,40,,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,07/06/1994,1994-06-07,2,9,18,19,35,36,,15,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14/06/1994,1994-06-14,13,24,29,30,31,41,,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,21/06/1994,1994-06-21,12,20,26,34,38,43,,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,28/06/1994,1994-06-28,7,17,19,21,24,36,,5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,05/07/1994,1994-07-05,3,6,11,13,26,29,,27,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,12/07/1994,1994-07-12,10,12,18,20,23,41,,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,19/07/1994,1994-07-19,2,9,13,34,37,39,,11,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,26/07/1994,1994-07-26,2,7,9,26,30,34,,25,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,02/08/1994,1994-08-02,3,11,12,25,31,39,,27,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,09/08/1994,1994-08-09,4,6,24,25,29,31,,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,16/08/1994,1994-08-16,10,17,18,20,30,45,,22,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,23/08/1994,1994-08-23,1,5,9,17,22,36,,4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,30/08/1994,1994-08-30,2,11,32,35,36,39,,21,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,06/09/1994,1994-09-06,11,12,16,24,33,40,,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,13/09/1994,1994-09-13,11,21,24,28,32,33,,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20/09/1994,1994-09-20,6,7,9,21,25,39,,14,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,27/09/1994,1994-09-27,6,17,24,29,32,37,,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,04/10/1994,1994-10-04,3,9,15,16,21,37,,27,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11/10/1994,1994-10-11,16,20,25,26,31,39,,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,18/10/1994,1994-10-18,1,3,14,18,19,29,,34,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,25/10/1994,1994-10-25,8,13,30,34,35,43,,31,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,01/11/1994,1994-11-01,4,17,19,32,35,38,,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,08/11/1994,1994-11-08,11,22,24,30,32,35,,17,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,15/11/1994,1994-11-15,8,26,31,35,37,43,,15,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,22/11/1994,1994-11-22,7,14,31,34,40,43,,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,29/11/1994,1994-11-29,4,21,27,36,43,45,,38,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,06/12/1994,1994-12-06,2,18,24,34,38,43,,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,13/12/1994,1994-12-13,8,11,12,15,22,27,,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,20/12/1994,1994-12-20,4,10,22,24,31,41,,34,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,27/12/1994,1994-12-27,11,13,14,29,30,45,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
